,name,prob
0,我武生物,0.713984640542913
1,博腾股份,0.32018559691299364
2,溢多利,0.47007580702635726
3,九强生物,0.37224177908796374
4,金石亚药,0.795279481528358
5,广生堂,0.2665788542859522
6,美康生物,0.5163502289403288
7,山河药辅,0.1371616056059782
8,迈克生物,0.7664337042249653
9,万孚生物,0.08788563086229159
10,赛升药业,0.8478916924689232
11,富祥药业,0.17011289869243312
12,海顺新材,0.5283388543628474
13,新光药业,0.8344330141334173
14,陇神戎发,0.7352014281839384
15,贝达药业,0.3629591387347558
16,兴齐眼药,0.540376347438226
17,赛托生物,0.844953575155725
18,海辰药业,0.6621388427831029
19,康泰生物,0.5075807158671196
20,普利制药,0.27363295779612007
21,同和药业,0.2517154341040439
22,凯普生物,0.42963432702705734
23,透景生命,0.34063891405136704
24,海特生物,0.4008401222405749
25,艾德生物,0.25425062808274546
26,天宇股份,0.06376901599407846
27,九典制药,0.39441097446591106
28,一品红,0.42726481127170507
29,中国医药,0.7628024020071015
30,华润双鹤,0.9500902192671083
31,人福医药,0.20950873937296144
32,ST金花,0.8803110172911068
33,同仁堂,0.668917727831097
34,太极集团,0.2526695822393246
35,天坛生物,0.48429109882076854
36,中牧股份,0.0
37,复星医药,0.5482062278246147
38,生物股份,0.7720661352306553
39,西藏药业,0.1481319072859975
40,浙江医药,0.12377985142652338
41,太龙药业,0.7091905792157612
42,圣济堂,0.7501255907919632
43,中恒集团,0.6317811573975932
44,海正药业,0.164609361885725
45,恒瑞医药,0.8067179704595528
46,羚锐制药,0.6320033915772382
47,安迪苏,0.1848466047150061
48,中新药业,0.3205987090111562
49,白云山,0.906236363586635
50,亚宝药业,0.6982621547814054
51,健康元,0.18332385832771858
52,ST金泰,0.9202412271086381
53,现代制药,0.5983410392570851
54,昆药集团,0.6330475409286945
55,片仔癀,0.1770261637931222
56,千金药业,0.5392411864688004
57,天药股份,0.6933476555790693
58,联环药业,0.6688670397553489
59,ST康美,0.9086507141580547
60,华海药业,0.005456384944296738
61,*ST交昂,0.9169323480347885
62,天士力,0.6180964873702031
63,康缘药业,0.8995890261762989
64,济川药业,0.645428341841294
65,*ST中珠,0.8008167549921842
66,康恩贝,0.7999157164813572
67,益佰制药,0.2810069860780644
68,神奇制药,0.6653096217843825
69,哈药股份,0.7681787820259987
70,*ST目药,0.38909961243750724
71,江中药业,0.33218459693536306
72,莱美药业,0.5120449015300179
73,安科生物,0.6145121140525787
74,沪深300能源(一级行业)指数,0.9365104354553022
75,沪深300价值指数,0.8797571574919927
76,中证可选消费指数,0.8347511891097211
77,沪深300地产指数,0.85122437036761
78,全指可选,0.7579831447825918
79,寿仙谷,0.9348634858371877
80,大理药业,0.1907147927098394
81,正川股份,0.6291938668899613
82,方盛制药,0.7380211034307157
83,康惠制药,0.49672209971984754
84,莎普爱思,0.604462480671117
85,济民制药,0.948565452622344
86,奥翔药业,0.19380169069410294
87,威尔药业,0.6683216117316483
88,辰欣药业,0.7158928788202108
89,基蛋生物,0.582385889145737
90,九洲药业,0.2669003316891333
91,司太立,0.1729997045608371
92,美诺华,0.02963694229670392
93,普莱柯,0.345714000007434
94,珍宝岛,0.9282710645152041
95,康辰药业,0.2934251835309786
96,安图生物,0.8375644733020939
97,灵康药业,0.7090712869538365
98,卫信康,0.3243912466544157
99,健友股份,0.48621052226419836
100,海利生物,0.11937890523858811
101,诚意药业,0.4117475974836096
102,步长制药,0.37048108919712885
103,南卫股份,0.5093948194128303
104,北陆药业,0.3067758158949799
105,红日药业,0.44584898216889834
106,上海凯宝,0.4151542617857416
107,康芝药业,0.5664083062616834
108,吉药控股,0.852459016393442
109,华仁药业,0.8630863764137542
110,向日葵,0.6419673361183249
111,瑞普生物,0.4194965406965418
112,智飞生物,0.8330260562392908
113,沃森生物,0.2248675210287561
114,上证民营企业红利指数,0.8229022205360592
115,广誉远,0.49457791655255556
116,*ST辅仁,0.9048635863986436
117,鲁抗医药,0.7734461961299924
118,华北制药,0.41744698076673553
119,海欣股份,0.6773040981349621
120,通化东宝,0.6966329622972877
121,仟源医药,0.752058136047456
122,常山药业,0.2429326120479404
123,尔康制药,0.8889371670064316
124,利德曼,0.9342188477485296
125,博雅生物,0.5895989229789393
126,香雪制药,0.7445056060985183
127,振东制药,0.3757827002568091
128,佐力药业,0.814269261813802
129,福安药业,0.32081397803975975
130,翰宇药业,0.7262559858421285
131,舒泰神,0.38759312533709844
132,金城医药,0.02179548994922676
